node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf115,10,0,0,0,0,0,0,0,2
clab-nebula-serf120,10,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf125,10,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf130,10,0,0,0,0,0,0,0,2
clab-nebula-serf135,10,0,0,0,0,0,0,0,2
clab-nebula-serf140,10,0,0,0,0,0,0,0,2
clab-nebula-serf145,10,0,0,0,0,0,0,0,2
clab-nebula-serf150,10,0,0,0,0,0,0,0,2
clab-nebula-serf155,10,0,0,0,0,0,0,0,2
clab-nebula-serf160,10,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf1,15,12,0,0,12,0,0.0,0.0,2
clab-nebula-serf5,15,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf10,15,20,0,0,20,0,0.0,0.0,2
clab-nebula-serf15,15,32,0,0,32,0,0.0,0.0,2
clab-nebula-serf20,15,15,0,0,15,0,0.0,0.0,2
clab-nebula-serf25,15,12,0,0,12,0,0.0,0.0,2
clab-nebula-serf30,15,28,0,0,28,0,0.0,0.0,2
clab-nebula-serf35,15,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf40,15,11,0,0,11,0,0.0,0.0,2
clab-nebula-serf45,15,22,0,0,22,0,0.0,0.0,2
clab-nebula-serf50,15,23,0,0,23,0,0.0,0.0,2
clab-nebula-serf55,15,23,0,0,23,0,0.0,0.0,2
clab-nebula-serf60,15,42,0,0,42,0,0.0,0.0,2
clab-nebula-serf65,15,0,0,0,0,0,0,0,2
clab-nebula-serf70,15,36,0,0,36,0,0.0,0.0,2
clab-nebula-serf75,15,26,0,0,26,0,0.0,0.0,2
clab-nebula-serf80,15,32,0,0,32,0,0.0,0.0,2
clab-nebula-serf85,15,19,0,0,19,0,0.0,0.0,2
clab-nebula-serf90,15,30,0,0,30,0,0.0,0.0,2
clab-nebula-serf95,15,30,0,0,30,0,0.0,0.0,2
clab-nebula-serf100,15,8,0,0,8,0,0.0,0.0,2
clab-nebula-serf105,15,8,0,0,8,0,0.0,0.0,2
clab-nebula-serf110,15,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf115,15,0,0,0,0,0,0,0,2
clab-nebula-serf120,15,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf125,15,12,0,0,12,0,0.0,0.0,2
clab-nebula-serf130,15,0,0,0,0,0,0,0,2
clab-nebula-serf135,15,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf140,15,0,0,0,0,0,0,0,2
clab-nebula-serf145,15,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf150,15,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf155,15,1,0,0,1,0,0.0,0.0,2
